date,hits,keyword,geo,time,gprop,category
2018-10-21T00:00:00Z,47,Facebook,US,today+5-y,web,0
2018-10-28T00:00:00Z,49,Facebook,US,today+5-y,web,0
2018-11-04T00:00:00Z,48,Facebook,US,today+5-y,web,0
2018-11-11T00:00:00Z,48,Facebook,US,today+5-y,web,0
2018-11-18T00:00:00Z,48,Facebook,US,today+5-y,web,0
2018-11-25T00:00:00Z,46,Facebook,US,today+5-y,web,0
2018-12-02T00:00:00Z,45,Facebook,US,today+5-y,web,0
2018-12-09T00:00:00Z,46,Facebook,US,today+5-y,web,0
2018-12-16T00:00:00Z,47,Facebook,US,today+5-y,web,0
2018-12-23T00:00:00Z,49,Facebook,US,today+5-y,web,0
2018-12-30T00:00:00Z,49,Facebook,US,today+5-y,web,0
2019-01-06T00:00:00Z,47,Facebook,US,today+5-y,web,0
2019-01-13T00:00:00Z,46,Facebook,US,today+5-y,web,0
2019-01-20T00:00:00Z,46,Facebook,US,today+5-y,web,0
2019-01-27T00:00:00Z,45,Facebook,US,today+5-y,web,0
2019-02-03T00:00:00Z,43,Facebook,US,today+5-y,web,0
2019-02-10T00:00:00Z,44,Facebook,US,today+5-y,web,0
2019-02-17T00:00:00Z,45,Facebook,US,today+5-y,web,0
2019-02-24T00:00:00Z,44,Facebook,US,today+5-y,web,0
2019-03-03T00:00:00Z,43,Facebook,US,today+5-y,web,0
2019-03-10T00:00:00Z,47,Facebook,US,today+5-y,web,0
2019-03-17T00:00:00Z,43,Facebook,US,today+5-y,web,0
2019-03-24T00:00:00Z,43,Facebook,US,today+5-y,web,0
2019-03-31T00:00:00Z,43,Facebook,US,today+5-y,web,0
2019-04-07T00:00:00Z,43,Facebook,US,today+5-y,web,0
2019-04-14T00:00:00Z,44,Facebook,US,today+5-y,web,0
2019-04-21T00:00:00Z,44,Facebook,US,today+5-y,web,0
2019-04-28T00:00:00Z,42,Facebook,US,today+5-y,web,0
2019-05-05T00:00:00Z,43,Facebook,US,today+5-y,web,0
2019-05-12T00:00:00Z,45,Facebook,US,today+5-y,web,0
2019-05-19T00:00:00Z,47,Facebook,US,today+5-y,web,0
2019-05-26T00:00:00Z,47,Facebook,US,today+5-y,web,0
2019-06-02T00:00:00Z,46,Facebook,US,today+5-y,web,0
2019-06-09T00:00:00Z,46,Facebook,US,today+5-y,web,0
2019-06-16T00:00:00Z,48,Facebook,US,today+5-y,web,0
2019-06-23T00:00:00Z,49,Facebook,US,today+5-y,web,0
2019-06-30T00:00:00Z,47,Facebook,US,today+5-y,web,0
2019-07-07T00:00:00Z,46,Facebook,US,today+5-y,web,0
2019-07-14T00:00:00Z,46,Facebook,US,today+5-y,web,0
2019-07-21T00:00:00Z,45,Facebook,US,today+5-y,web,0
2019-07-28T00:00:00Z,46,Facebook,US,today+5-y,web,0
2019-08-04T00:00:00Z,47,Facebook,US,today+5-y,web,0
2019-08-11T00:00:00Z,44,Facebook,US,today+5-y,web,0
2019-08-18T00:00:00Z,44,Facebook,US,today+5-y,web,0
2019-08-25T00:00:00Z,42,Facebook,US,today+5-y,web,0
2019-09-01T00:00:00Z,42,Facebook,US,today+5-y,web,0
2019-09-08T00:00:00Z,40,Facebook,US,today+5-y,web,0
2019-09-15T00:00:00Z,40,Facebook,US,today+5-y,web,0
2019-09-22T00:00:00Z,41,Facebook,US,today+5-y,web,0
2019-09-29T00:00:00Z,41,Facebook,US,today+5-y,web,0
2019-10-06T00:00:00Z,39,Facebook,US,today+5-y,web,0
2019-10-13T00:00:00Z,40,Facebook,US,today+5-y,web,0
2019-10-20T00:00:00Z,40,Facebook,US,today+5-y,web,0
2019-10-27T00:00:00Z,40,Facebook,US,today+5-y,web,0
2019-11-03T00:00:00Z,41,Facebook,US,today+5-y,web,0
2019-11-10T00:00:00Z,38,Facebook,US,today+5-y,web,0
2019-11-17T00:00:00Z,39,Facebook,US,today+5-y,web,0
2019-11-24T00:00:00Z,41,Facebook,US,today+5-y,web,0
2019-12-01T00:00:00Z,38,Facebook,US,today+5-y,web,0
2019-12-08T00:00:00Z,39,Facebook,US,today+5-y,web,0
2019-12-15T00:00:00Z,39,Facebook,US,today+5-y,web,0
2019-12-22T00:00:00Z,43,Facebook,US,today+5-y,web,0
2019-12-29T00:00:00Z,42,Facebook,US,today+5-y,web,0
2020-01-05T00:00:00Z,38,Facebook,US,today+5-y,web,0
2020-01-12T00:00:00Z,38,Facebook,US,today+5-y,web,0
2020-01-19T00:00:00Z,38,Facebook,US,today+5-y,web,0
2020-01-26T00:00:00Z,40,Facebook,US,today+5-y,web,0
2020-02-02T00:00:00Z,39,Facebook,US,today+5-y,web,0
2020-02-09T00:00:00Z,37,Facebook,US,today+5-y,web,0
2020-02-16T00:00:00Z,38,Facebook,US,today+5-y,web,0
2020-02-23T00:00:00Z,37,Facebook,US,today+5-y,web,0
2020-03-01T00:00:00Z,36,Facebook,US,today+5-y,web,0
2020-03-08T00:00:00Z,37,Facebook,US,today+5-y,web,0
2020-03-15T00:00:00Z,41,Facebook,US,today+5-y,web,0
2020-03-22T00:00:00Z,45,Facebook,US,today+5-y,web,0
2020-03-29T00:00:00Z,43,Facebook,US,today+5-y,web,0
2020-04-05T00:00:00Z,43,Facebook,US,today+5-y,web,0
2020-04-12T00:00:00Z,41,Facebook,US,today+5-y,web,0
2020-04-19T00:00:00Z,40,Facebook,US,today+5-y,web,0
2020-04-26T00:00:00Z,39,Facebook,US,today+5-y,web,0
2020-05-03T00:00:00Z,38,Facebook,US,today+5-y,web,0
2020-05-10T00:00:00Z,39,Facebook,US,today+5-y,web,0
2020-05-17T00:00:00Z,42,Facebook,US,today+5-y,web,0
2020-05-24T00:00:00Z,39,Facebook,US,today+5-y,web,0
2020-05-31T00:00:00Z,41,Facebook,US,today+5-y,web,0
